ticket_id,data_abertura,status,prioridade,tipo_ticket,cliente,sgdb,ambiente,servidor,tempo_resolucao_horas
56435,2026-01-08 11:04:11+00:00,Aguardando o cliente,Baixa,Checklist,SNCBDO01,Oracle,Outro,,1.9725
56432,2026-01-08 11:00:12+00:00,Aguardando o cliente,Baixa,Checklist,MILLS,Oracle,Produção,,2.776111111111111
56431,2026-01-08 11:00:01+00:00,Aguardando o cliente,Baixa,Checklist,A NOSSA DROGARIA,Sql Server,Produção,,1.4913888888888889
56427,2026-01-08 10:12:41+00:00,Aguardando o cliente,Baixa,Checklist,MILLS,Oracle,Produção,,3.9230555555555555
56426,2026-01-08 10:05:55+00:00,Aguardando o cliente,Baixa,Checklist,NAO IDENTIFICADO,Sql Server,Produção,SES-SQL-PRD\BI,2.401388888888889
56425,2026-01-08 10:03:52+00:00,Aguardando o cliente,Baixa,Checklist,MILLS,Oracle,Produção,,4.061111111111111
56424,2026-01-08 10:00:14+00:00,Aguardando o cliente,Baixa,Checklist,MILLS,Oracle,Produção,,4.149444444444445
56423,2026-01-08 10:00:08+00:00,Aguardando o cliente,Baixa,Checklist,MILLS,Oracle,Produção,,4.158888888888889
56420,2026-01-08 10:00:04+00:00,Aguardando o cliente,Baixa,Checklist,MILLS,Oracle,Produção,,4.4125
56422,2026-01-08 10:00:04+00:00,Aguardando o cliente,Baixa,Checklist,MILLS,Oracle,Produção,,4.4127777777777775
56421,2026-01-08 10:00:04+00:00,Aguardando o cliente,Baixa,Checklist,MILLS,Oracle,Produção,,4.4127777777777775
56418,2026-01-08 10:00:03+00:00,Aguardando o cliente,Baixa,Checklist,MILLS,Oracle,Produção,,4.4127777777777775
56419,2026-01-08 10:00:03+00:00,Aguardando o cliente,Baixa,Checklist,MILLS,Oracle,Produção,,4.4127777777777775
56417,2026-01-08 09:55:51+00:00,Aguardando o cliente,Baixa,Checklist,NAO IDENTIFICADO,Sql Server,Produção,SRVBD,2.578333333333333
56416,2026-01-08 09:55:50+00:00,Aguardando o cliente,Baixa,Checklist,NAO IDENTIFICADO,Sql Server,Produção,SES-CLO-BD-SER,2.585277777777778
56415,2026-01-08 09:55:48+00:00,Aguardando o cliente,Baixa,Checklist,NAO IDENTIFICADO,Sql Server,Produção,SES-SQL-PRD,2.5919444444444446
56414,2026-01-08 09:55:47+00:00,Aguardando o cliente,Baixa,Checklist,NAO IDENTIFICADO,Sql Server,Produção,CALIFORNIA,2.6180555555555554
56413,2026-01-08 09:55:14+00:00,Aguardando o cliente,Baixa,Checklist,NAO IDENTIFICADO,Sql Server,Produção,SRVBDCD,2.633888888888889
56412,2026-01-08 09:55:12+00:00,Aguardando o cliente,Baixa,Checklist,NAO IDENTIFICADO,Sql Server,Produção,SRVBDADM,2.6444444444444444
56411,2026-01-08 09:55:11+00:00,Aguardando o cliente,Baixa,Checklist,NAO IDENTIFICADO,Sql Server,Produção,SRVBDADM\BI,2.6744444444444446
56410,2026-01-08 09:55:10+00:00,Aguardando o cliente,Baixa,Checklist,NAO IDENTIFICADO,Oracle,Outro,SMLSAWSSQLVP01,4.502222222222223
56409,2026-01-08 09:55:09+00:00,Aguardando o cliente,Baixa,Checklist,NAO IDENTIFICADO,Sql Server,Produção,SRVBDADM\PACK,2.665277777777778
56408,2026-01-08 09:55:08+00:00,Aguardando o cliente,Baixa,Checklist,NAO IDENTIFICADO,Sql Server,Produção,SRVBDADM\BIMER,2.6875
56407,2026-01-08 09:51:37+00:00,Aguardando o cliente,Baixa,Checklist,MILLS,Oracle,Produção,,4.553333333333334
