id,subject,status,priority,type,created_at,updated_at,custom_fields.cf_sgdb,custom_fields.cf_ambiente,custom_fields.cf_csi_status
56435,SNCBDO01 - Health Check Diário,5,1,Checklist,2026-01-08T11:04:11Z,2026-01-08T13:02:32Z,Oracle,Outro,NA - Não aplicavel
56432,Mills - Checklist Oracle - SMAWSMCPVBP01 (MCP),5,1,Checklist,2026-01-08T11:00:12Z,2026-01-08T13:46:46Z,Oracle,Produção,
56431,A Nossa Drogaria - Server Summary,5,1,Checklist,2026-01-08T11:00:01Z,2026-01-08T12:29:30Z,Sql Server,Produção,NA - Não aplicavel
56427,Mills - Checklist Oracle - SAP (ECP),5,1,Checklist,2026-01-08T10:12:41Z,2026-01-08T14:08:04Z,Oracle,Produção,
56426,INFO: Database Checklist on Server: SES-SQL-PRD\BI,5,1,Checklist,2026-01-08T10:05:55Z,2026-01-08T12:30:00Z,Sql Server,Produção,NA - Não aplicavel
56425,Mills - Checklist Oracle - SMAWSECCVBQ01 (ECQ),5,1,Checklist,2026-01-08T10:03:52Z,2026-01-08T14:07:32Z,Oracle,Produção,
56424,Mills - Checklist Oracle - (MCQ),5,1,Checklist,2026-01-08T10:00:14Z,2026-01-08T14:09:12Z,Oracle,Produção,
56423,Mills - Checklist Oracle - SMAWSECCVBD01 (ECD),5,1,Checklist,2026-01-08T10:00:08Z,2026-01-08T14:09:40Z,Oracle,Produção,
56420,Mills - Checklist Oracle - (GRP),5,1,Checklist,2026-01-08T10:00:04Z,2026-01-08T14:24:49Z,Oracle,Produção,
56422,Mills - Checklist Oracle - (GRD),5,1,Checklist,2026-01-08T10:00:04Z,2026-01-08T14:24:50Z,Oracle,Produção,
56421,Mills - Checklist Oracle - (POP),5,1,Checklist,2026-01-08T10:00:04Z,2026-01-08T14:24:50Z,Oracle,Produção,
56418,Mills - Checklist Oracle - (POD),5,1,Checklist,2026-01-08T10:00:03Z,2026-01-08T14:24:49Z,Oracle,Produção,
56419,Mills - Checklist Oracle - (GWP),5,1,Checklist,2026-01-08T10:00:03Z,2026-01-08T14:24:49Z,Oracle,Produção,
56417,INFO: Database Checklist on Server: SRVBD,5,1,Checklist,2026-01-08T09:55:51Z,2026-01-08T12:30:33Z,Sql Server,Produção,NA - Não aplicavel
56416,INFO: Database Checklist on Server: SES-CLO-BD-SER,5,1,Checklist,2026-01-08T09:55:50Z,2026-01-08T12:30:57Z,Sql Server,Produção,NA - Não aplicavel
56415,INFO: Database Checklist on Server: SES-SQL-PRD,5,1,Checklist,2026-01-08T09:55:48Z,2026-01-08T12:31:19Z,Sql Server,Produção,NA - Não aplicavel
56414,INFO: Database Checklist on Server: CALIFORNIA,5,1,Checklist,2026-01-08T09:55:47Z,2026-01-08T12:32:52Z,Sql Server,Produção,NA - Não aplicavel
56413,INFO: Database Checklist on Server: SRVBDCD,5,1,Checklist,2026-01-08T09:55:14Z,2026-01-08T12:33:16Z,Sql Server,Produção,NA - Não aplicavel
56412,INFO: Database Checklist on Server: SRVBDADM,5,1,Checklist,2026-01-08T09:55:12Z,2026-01-08T12:33:52Z,Sql Server,Produção,NA - Não aplicavel
56411,INFO: Database Checklist on Server: SRVBDADM\BI,5,1,Checklist,2026-01-08T09:55:11Z,2026-01-08T12:35:39Z,Sql Server,Produção,NA - Não aplicavel
56410,INFO Engeman: Database Checklist on Server: SMLSAWSSQLVP01,5,1,Checklist,2026-01-08T09:55:10Z,2026-01-08T14:25:18Z,Oracle,Outro,NA - Não aplicavel
56409,INFO: Database Checklist on Server: SRVBDADM\PACK,5,1,Checklist,2026-01-08T09:55:09Z,2026-01-08T12:35:04Z,Sql Server,Produção,NA - Não aplicavel
56408,INFO: Database Checklist on Server: SRVBDADM\BIMER,5,1,Checklist,2026-01-08T09:55:08Z,2026-01-08T12:36:23Z,Sql Server,Produção,NA - Não aplicavel
56407,Mills - Checklist Oracle - SMAWSBWVBP02 (BP1),5,1,Checklist,2026-01-08T09:51:37Z,2026-01-08T14:24:49Z,Oracle,Produção,
56387,INFO SIS: Database Checklist on Server: EC2AMAZ-KTTVFEL,5,1,Checklist,2026-01-07T11:55:08Z,2026-01-07T12:48:45Z,Sql Server,Produção,NA - Não aplicavel
56385,A Nossa Drogaria - Server Summary,5,1,Checklist,2026-01-07T11:00:15Z,2026-01-07T12:49:10Z,Sql Server,Produção,NA - Não aplicavel
56384,Mills - Checklist Oracle - SMAWSMCPVBP01 (MCP),5,1,Checklist,2026-01-07T11:00:11Z,2026-01-07T12:17:18Z,Oracle,Produção,
56380,Mills - Checklist Oracle - SAP (ECP),5,1,Checklist,2026-01-07T10:12:46Z,2026-01-07T12:17:32Z,Oracle,Produção,
